BJD - 2454833, Corrected Flux
2158.406044703, 1.000058685,
2158.426476874, 1.000057499,
2158.446908845, 0.999937138,
2158.467340916, 0.999898649,
2158.487773086, 1.000036574,
2158.508205055, 1.000138834,
2158.528637124, 1.000070507,
2158.549069192, 1.000110854,
2158.569501260, 1.000076683,
2158.589933328, 1.000183044,
2158.610365495, 1.000043442,
2158.651229528, 0.999947446,
2158.671661693, 1.000101154,
2158.692093658, 0.999920466,
2158.712525722, 1.000078121,
2158.732957886, 0.999999618,
2158.773821913, 0.999899194,
2158.794254075, 1.000017834,
2158.814686037, 1.000060171,
2158.835118099, 1.000043074,
2158.855550260, 1.000137368,
2158.875982220, 0.999950564,
2158.896414380, 0.999998107,
2158.916846440, 0.999885783,
2158.937278499, 0.999914701,
2158.957710558, 0.999976966,
2158.978142616, 0.999872968,
2158.998574674, 0.999942850,
2159.019006730, 0.999939770,
2159.039438787, 0.999981410,
2159.059870844, 0.999911453,
2159.080302999, 1.000024929,
2159.100734954, 0.999987269,
2159.121167009, 1.000008731,
2159.141599163, 1.000113737,
2159.162031117, 1.000043232,
2159.182463170, 1.000022397,
2159.202895323, 0.999877739,
2159.223327275, 0.999916054,
2159.243759326, 0.999866657,
2159.264191378, 0.999992474,
2159.284623428, 0.999928555,
2159.305055479, 0.999975940,
2159.325487528, 0.999922153,
2159.345919578, 0.999951070,
2159.366351627, 0.999919145,
2159.386783675, 0.999796502,
2159.407215723, 0.999990628,
2159.427647770, 0.999917648,
2159.448079917, 0.999866524,
2159.468511863, 0.999904878,
2159.509376054, 0.999826658,
2159.529807999, 0.995355232,
2159.550240144, 0.990836392,
2159.570672188, 0.991635747,
2159.591104131, 0.997756050,
2159.611536274, 0.999877138,
2159.631968317, 0.999821731,
2159.652400258, 0.999811861,
2159.672832400, 0.999734926,
2159.693264441, 0.999682495,
2159.713696381, 0.999749204,
2159.754560561, 0.999780190,
2159.774992600, 0.999734263,
2159.795424639, 0.999779230,
2159.815856677, 0.999797808,
2159.836288715, 0.999688201,
2159.856720751, 0.999742962,
2159.877152788, 0.999754268,
2159.897584824, 0.999784008,
2159.918016960, 0.999764900,
2159.938448895, 0.999712954,
2159.958880930, 0.999721256,
2159.979312964, 0.999845239,
2159.999744998, 0.999644116,
2160.020176931, 0.999586034,
2160.040609064, 0.999584014,
2160.061041096, 0.999678042,
2160.081473228, 0.999691031,
2160.101905159, 0.999578176,
2160.122337190, 0.999522255,
2160.142769321, 0.999620529,
2160.163201250, 0.999549992,
2160.183633280, 0.999615400,
2160.204065408, 0.999532003,
2160.224497337, 0.999635912,
2160.244929365, 0.999542560,
2160.265361493, 0.999604828,
2160.285793520, 0.999506943,
2160.306225446, 0.999662369,
2160.326657572, 0.999591178,
2160.347089598, 0.999604102,
2160.367521523, 0.999695404,
2160.387953647, 0.999516576,
2160.408385671, 0.999559180,
2160.428817595, 0.999558997,
2160.449249718, 0.999584093,
2160.469681741, 0.999570069,
2160.490113663, 0.999623138,
2160.510545785, 0.999556149,
2160.530977806, 0.999513035,
2160.551409727, 0.999432783,
2160.571841847, 0.999497541,
2160.592273867, 0.999659945,
2160.612705886, 0.999422565,
2160.633137906, 0.999555017,
2160.653569924, 0.999391436,
2160.674002042, 0.999580649,
2160.694433959, 0.999504959,
2160.735298093, 0.999497437,
2160.755730008, 0.999415665,
2160.796594039, 0.999489969,
2160.817026054, 0.999674852,
2160.837458068, 0.999646097,
2160.857890181, 0.999544723,
2160.878322094, 0.999641707,
2160.898754108, 0.999769791,
2160.919186220, 0.999580927,
2160.939618131, 0.999452612,
2160.960050142, 0.999485056,
2160.980482254, 0.999447877,
2161.000914164, 0.999495050,
2161.021346174, 0.999447378,
2161.041778283, 0.999605635,
2161.062210192, 0.999552196,
2161.082642200, 0.999473425,
2161.103074308, 0.999399374,
2161.123506316, 0.999404378,
2161.143938223, 0.999378521,
2161.164370329, 0.999401331,
2161.184802335, 0.999346888,
2161.205234241, 0.999428115,
2161.225666346, 0.999419240,
2161.246098351, 0.999422797,
2161.266530255, 0.999403278,
2161.286962359, 0.999406143,
2161.307394362, 0.999405866,
2161.327826465, 0.999321339,
2161.368690369, 0.999371240,
2161.389122470, 0.999415078,
2161.429986371, 0.999322272,
2161.470850371, 0.999416634,
2161.491282370, 0.999444188,
2161.511714368, 0.999442803,
2161.532146366, 0.999442794,
2161.552578364, 0.999447039,
2161.573010361, 0.999482038,
2161.593442358, 0.999369766,
2161.613874354, 0.999370372,
2161.634306350, 0.999315650,
2161.654738345, 0.999455155,
2161.675170340, 0.999330450,
2161.736466321, 0.999452741,
2161.756898414, 0.999480934,
2161.777330307, 0.999417747,
2161.797762299, 0.999389103,
2161.818194390, 0.999474685,
2161.838626281, 0.999230961,
2161.859058372, 0.999311034,
2161.879490362, 0.999381605,
2161.899922252, 0.999452115,
2161.920354340, 0.999346574,
2161.940786329, 0.999392298,
2161.961218318, 0.999345840,
2161.981650305, 0.999349998,
2162.002082293, 0.998341250,
2162.022514280, 0.992216056,
2162.042946266, 0.990152416,
2162.063378252, 0.993439258,
2162.083810237, 0.998991751,
2162.104242223, 0.999563819,
2162.124674207, 0.999368142,
2162.145106191, 0.999406245,
2162.206402140, 0.999383192,
2162.226834123, 0.999490001,
2162.247266105, 0.999344998,
2162.267697986, 0.999405396,
2162.288130067, 0.999423718,
2162.308562047, 0.999387014,
2162.328993927, 0.999401578,
2162.349426007, 0.999525058,
2162.369857986, 0.999430261,
2162.390289964, 0.999488557,
2162.410721942, 0.999466191,
2162.431153920, 0.999406826,
2162.451585997, 0.999522630,
2162.472017874, 0.999494668,
2162.512881926, 0.999482426,
2162.533313901, 0.999447929,
2162.553745776, 0.999489811,
2162.574177851, 0.999480673,
2162.594609824, 0.999488598,
2162.615041698, 0.999484582,
2162.635473771, 0.999619894,
2162.655905743, 0.999574808,
2162.696769687, 0.999648812,
2162.717201658, 0.999705134,
2162.737633529, 0.999549436,
2162.758065599, 0.999580563,
2162.778497569, 0.999625282,
2162.798929538, 0.999655657,
2162.819361508, 0.999711643,
2162.839793476, 0.999652660,
2162.860225444, 0.999650696,
2162.880657411, 0.999625871,
2162.901089379, 0.999563125,
2162.941953312, 0.999592186,
2162.962385277, 0.999646955,
2162.982817242, 0.999603227,
2163.003249207, 0.999726944,
2163.023681171, 0.999658379,
2163.044113235, 1.000406660,
2163.064545099, 0.999665509,
2163.084977062, 0.999726095,
2163.105409124, 0.999753459,
2163.125840986, 0.999659758,
2163.187136870, 0.999873678,
2163.207568830, 0.999799815,
2163.228000890, 0.999765661,
2163.248432749, 0.999835790,
2163.268864708, 0.999756455,
2163.289296767, 0.999841503,
2163.309728624, 0.999758928,
2163.330160582, 0.999847143,
2163.350592639, 0.999819932,
2163.371024596, 0.999797040,
2163.391456452, 0.999828175,
2163.411888508, 0.999871381,
2163.432320463, 0.999874019,
2163.452752318, 0.999713268,
2163.473184372, 0.999893805,
2163.493616326, 0.999745406,
2163.514048180, 0.999896458,
2163.534480233, 0.999858043,
2163.554912186, 0.999834275,
2163.575344238, 0.999791375,
2163.595776089, 0.999872928,
2163.616208041, 0.999977854,
2163.697935841, 0.999892672,
2163.718367790, 0.999939231,
2163.738799738, 0.999963320,
2163.759231687, 1.000036593,
2163.779663634, 1.000005061,
2163.800095581, 0.999975456,
2163.820527528, 0.999920185,
2163.840959474, 0.999967188,
2163.861391420, 1.000067479,
2163.881823466, 1.000026391,
2163.922687255, 0.999880255,
2163.943119300, 0.999953870,
2163.963551143, 0.999994750,
2163.983983086, 1.000045073,
2164.004415129, 0.999985863,
2164.024846971, 0.999912257,
2164.045278913, 0.999844667,
2164.065710954, 1.000022710,
2164.086142795, 0.999903535,
2164.106574736, 1.000005041,
2164.127006776, 1.000048574,
2164.147438615, 0.999910045,
2164.167870655, 0.999985601,
2164.208734532, 1.000075646,
2164.229166470, 1.000014895,
2164.249598407, 0.999973054,
2164.270030344, 0.999894107,
2164.290462380, 0.999880650,
2164.310894217, 0.999933149,
2164.351758187, 1.000022238,
2164.372190022, 1.000040438,
2164.413053890, 0.999956460,
2164.433485824, 1.000070220,
2164.453917756, 0.999932714,
2164.474349689, 0.999973997,
2164.494781621, 0.996589525,
2164.515213453, 0.992932641,
2164.535645484, 0.991177206,
2164.556077415, 0.996816422,
2164.576509345, 0.999923890,
2164.596941275, 0.999793102,
2164.617373205, 1.000046103,
2164.637805134, 0.999821410,
2164.658237062, 0.999867053,
2164.678668990, 0.999886618,
2164.699101018, 0.999840294,
2164.719532945, 0.999810760,
2164.739964772, 0.999770134,
2164.760396799, 0.999884630,
2164.780828725, 0.999831855,
2164.801260550, 0.999755142,
2164.821692575, 0.999746934,
2164.842124500, 0.999771659,
2164.862556324, 0.999743427,
2164.903420271, 0.999747215,
2164.923852094, 0.999745201,
2164.944284116, 0.999799128,
2164.964716038, 0.999903763,
2164.985147860, 0.999717921,
2165.005579881, 0.999782640,
2165.026011802, 0.999794764,
2165.046443722, 0.999802114,
2165.066875642, 0.999669411,
2165.087307561, 0.999622712,
2165.107739480, 0.999738823,
2165.128171399, 0.999705271,
2165.148603317, 0.999660866,
2165.169035234, 0.999628495,
2165.189467251, 0.999685737,
2165.209899069, 0.999672888,
2165.230331085, 0.999674252,
2165.250762901, 0.999601570,
2165.291626831, 0.999574545,
2165.312058646, 0.999520948,
2165.332490560, 0.999520237,
2165.352922574, 0.999525922,
